Stabilizing video number: 0 with name: Crowd/0.avi
Exaggerated transform parameters in frame 57, X: 47, Y: -1, S: 1, R: 3.1e-10
Exaggerated transform parameters in frame 58, X: 48, Y: -1, S: 1, R: 2e-09
Exaggerated transform parameters in frame 59, X: 52, Y: -0.79, S: 1, R: 0.0001
Exaggerated transform parameters in frame 60, X: 51, Y: -1, S: 1, R: 5.2e-09
Exaggerated transform parameters in frame 61, X: 51, Y: 0.047, S: 1, R: 0.00012
Exaggerated transform parameters in frame 62, X: 50, Y: 0.058, S: 1, R: 7.5e-05
Exaggerated transform parameters in frame 63, X: 51, Y: 0.94, S: 1, R: -0.00042
Exaggerated transform parameters in frame 64, X: 48, Y: 1, S: 1, R: -2e-09
Exaggerated transform parameters in frame 65, X: 51, Y: 1, S: 1, R: -5.2e-09
Exaggerated transform parameters in frame 66, X: 51, Y: 1, S: 1, R: -5.2e-09
Exaggerated transform parameters in frame 67, X: 51, Y: 1, S: 1, R: -5.2e-09
Exaggerated transform parameters in frame 68, X: 50, Y: 1, S: 1, R: 9.2e-05
Exaggerated transform parameters in frame 69, X: 48, Y: 0.056, S: 1, R: -0.0002
Exaggerated transform parameters in frame 70, X: 51, Y: 0.055, S: 1, R: 2.6e-05
Exaggerated transform parameters in frame 71, X: 50, Y: -1, S: 1, R: 9e-09
Exaggerated transform parameters in frame 72, X: 50, Y: -2, S: 1, R: -1.4e-08
Exaggerated transform parameters in frame 73, X: 51, Y: -2, S: 1, R: -4e-09
Exaggerated transform parameters in frame 74, X: 50, Y: -3, S: 1, R: 1.4e-09
Exaggerated transform parameters in frame 75, X: 50, Y: -3, S: 1, R: 1.4e-09
Exaggerated transform parameters in frame 76, X: 49, Y: -3, S: 1, R: -1.6e-09
Exaggerated transform parameters in frame 77, X: 49, Y: -3, S: 1, R: -1.6e-09
Exaggerated transform parameters in frame 78, X: 49, Y: -3, S: 1, R: -1.6e-09
Exaggerated transform parameters in frame 79, X: 49, Y: -3.2, S: 1, R: 0.00019
Exaggerated transform parameters in frame 80, X: 47, Y: -3, S: 1, R: -3.1e-08
Exaggerated transform parameters in frame 81, X: 46, Y: -4, S: 1, R: -6e-08
Exaggerated transform parameters in frame 82, X: 45, Y: -5, S: 1, R: 8.9e-08
Exaggerated transform parameters in frame 83, X: 47, Y: -5.2, S: 1, R: 0.0024
Exaggerated transform parameters in frame 84, X: 47, Y: -4.3, S: 1, R: 0.00065
Exaggerated transform parameters in frame 85, X: 46, Y: -4, S: 1, R: -6e-08
Exaggerated transform parameters in frame 86, X: 48, Y: -4, S: 1, R: -6.1e-08
Exaggerated transform parameters in frame 87, X: 49, Y: -3, S: 1, R: -1.6e-09
Exaggerated transform parameters in frame 88, X: 48, Y: -3, S: 1, R: 2.4e-08
Exaggerated transform parameters in frame 89, X: 49, Y: -2.9, S: 1, R: -0.00021
Exaggerated transform parameters in frame 90, X: 51, Y: -0.98, S: 1, R: 9.9e-05
Exaggerated transform parameters in frame 91, X: 49, Y: -2, S: 1, R: 1.3e-08
Exaggerated transform parameters in frame 92, X: 49, Y: -3, S: 1, R: -1.6e-09
Exaggerated transform parameters in frame 93, X: 48, Y: -4, S: 1, R: -6.1e-08
Exaggerated transform parameters in frame 94, X: 46, Y: -5, S: 1, R: 1.5e-07
Exaggerated transform parameters in frame 95, X: 46, Y: -6, S: 1, R: -9.5e-08
Exaggerated transform parameters in frame 96, X: 46, Y: -7, S: 1, R: -1.7e-07
Exaggerated transform parameters in frame 97, X: 45, Y: -8, S: 1, R: 1.3e-06
Exaggerated transform parameters in frame 98, X: 46, Y: -8, S: 1, R: 4.6e-07
Exaggerated transform parameters in frame 99, X: 46, Y: -8, S: 1, R: 4.6e-07
Exaggerated transform parameters in frame 100, X: 46, Y: -7, S: 1, R: -1.7e-07
Exaggerated transform parameters in frame 101, X: 46, Y: -6, S: 1, R: -9.5e-08
Exaggerated transform parameters in frame 102, X: 47, Y: -6, S: 1, R: 5.1e-07
Exaggerated transform parameters in frame 103, X: 47, Y: -5, S: 1, R: -2.7e-07
Exaggerated transform parameters in frame 104, X: 46, Y: -6, S: 1, R: -9.5e-08
Exaggerated transform parameters in frame 105, X: 47, Y: -7, S: 1, R: 2.2e-07
Exaggerated transform parameters in frame 106, X: 48, Y: -7, S: 1, R: -1.2e-07
Exaggerated transform parameters in frame 107, X: 50, Y: -8, S: 1, R: 3.8e-07
Exaggerated transform parameters in frame 108, X: 50, Y: -9, S: 1, R: 8.5e-07
Exaggerated transform parameters in frame 109, X: 50, Y: -9, S: 1, R: 8.5e-07
Exaggerated transform parameters in frame 110, X: 51, Y: -9, S: 1, R: 9.9e-07
Exaggerated transform parameters in frame 111, X: 52, Y: -9, S: 1, R: 1.6e-07
Exaggerated transform parameters in frame 112, X: 52, Y: -9, S: 1, R: 1.6e-07
Exaggerated transform parameters in frame 113, X: 51, Y: -8, S: 1, R: 4.5e-07
Exaggerated transform parameters in frame 114, X: 53, Y: -7.8, S: 1, R: -0.00018
Exaggerated transform parameters in frame 115, X: 52, Y: -6.6, S: 1, R: 0.00038
Exaggerated transform parameters in frame 116, X: 46, Y: -8, S: 1, R: 4.6e-07
Exaggerated transform parameters in frame 117, X: 50, Y: -9, S: 1, R: 8.5e-07
Exaggerated transform parameters in frame 118, X: 50, Y: -10, S: 1, R: -1.3e-06
